user_id,social_media_followers_count,social_follower_cat,talent_categories,status,manager_id,interviewed_date,signed_date,int_sign_duration,active,source,sent,inserted_date_pst,age,age_group,state,country,gender,followers_count,video_int_dur,firework_follower_cat,time_zone,lat,long,potential,categories_count,first_category,second_category,third_category,fourth_category,fifth_category
20957,556,<1000,"[""performance""]",active_talent,47,4/9/18,5/8/18,29,1,instagram,0,4/27/18,17,13-17,Georgia,US,male,94,20,60-120,America/New_York,33.6878,-84.2507,0,1,performance,,,,
229460,11100,10000-20000,null,followup,883,6/27/18,,,0,instagram,0,6/22/18,24,18-24,New York,US,male,0,,<20,America/New_York,40.791,-73.9256,0,,,,,,
233142,4259,3000-6000,"[""lifestyle""]",sent_contract,2536,6/26/18,,,0,instagram,1,6/25/18,19,18-24,New Jersey,US,female,0,4,<20,America/New_York,40.9731,-73.9615,0,1,lifestyle,,,,
9222,25500,>20000,"[""fashion""]",active_talent,47,3/20/18,5/16/18,57,1,instagram,0,4/17/18,,UNKNOWN,Maharashtra,IN,female,94,31,60-120,Asia/Kolkata,18.5333,73.8667,0,1,fashion,,,,
255779,27000,>20000,"[""fashion""]",active_talent,42612,7/10/18,7/19/18,9,1,instagram,1,7/9/18,25,18-24,California,US,female,3,4,<20,America/Los_Angeles,34.2023,-118.4468,0,1,fashion,,,,
233149,3625,3000-6000,null,active_talent,223391,6/26/18,7/6/18,10,1,instagram,1,6/25/18,36,35+,,US,female,11,3,<20,America/Los_Angeles,,,0,,,,,,
245486,26801,>20000,"[""lifestyle""]",sent_contract,227915,7/5/18,,,0,youtube,1,7/3/18,41,35+,Ohio,US,male,6,1,<20,America/New_York,40.1241,-82.3828,0,1,lifestyle,,,,
259862,48100,>20000,"[""performance""]",followup,883,7/12/18,,,0,instagram,0,7/11/18,27,25-34,,US,female,0,,<20,America/New_York,,,0,1,performance,,,,
273522,2657,1000-3000,"[""fashion""]",not_interested,883,7/17/18,,,0,instagram,0,7/16/18,,UNKNOWN,New York,US,female,8,,<20,America/New_York,40.7588,-73.968,0,1,fashion,,,,
219591,1050,1000-3000,"[""performance"", ""sport""]",active_talent,8053,6/18/18,6/20/18,2,1,instagram,0,6/17/18,20,18-24,California,US,male,82,-1,60-120,America/Los_Angeles,34.0887,-118.3278,0,2,performance,sport,,,
255909,33700,>20000,"[""lifestyle""]",not_interested,883,7/12/18,,,0,instagram,1,7/9/18,36,35+,California,US,male,0,5,<20,America/Los_Angeles,34.069,-118.3502,0,1,lifestyle,,,,
198531,11800,10000-20000,"[""lifestyle""]",interviewed,103328,6/11/18,,,0,instagram,0,6/8/18,,UNKNOWN,California,US,female,1,,<20,America/Los_Angeles,34.1463,-118.4293,0,1,lifestyle,,,,
9993,3272,3000-6000,null,interviewed,103328,4/24/18,,,0,instagram,0,4/18/18,21,18-24,South Carolina,US,female,16,1,<20,America/New_York,33.9849,-81.025,1,,,,,,
282867,1338,1000-3000,"[""travel""]",followup,883,7/24/18,,,0,instagram,0,7/19/18,31,25-34,California,US,female,14,,<20,America/Los_Angeles,33.995,-118.3917,0,1,travel,,,,
235715,185,<1000,"[""lifestyle""]",active_talent,42612,7/6/18,7/13/18,7,1,youtube,1,6/27/18,24,18-24,Georgia,US,female,13,2,<20,America/New_York,,,0,1,lifestyle,,,,
287575,3047555,>20000,"[""travel""]",sent_contract,222515,7/24/18,,,0,instagram,1,7/21/18,34,25-34,Florida,US,male,8,-2,<20,America/New_York,25.6586,-80.3569,0,1,travel,,,,
238402,9000,6000-10000,"[""performance""]",sent_contract,2536,7/2/18,,,0,instagram,1,6/29/18,42,35+,Illinois,US,male,7,-3,<20,America/Chicago,41.9728,-87.6616,0,1,performance,,,,
252309,29500,>20000,"[""lifestyle""]",sent_contract,103328,7/16/18,,,0,instagram,1,7/6/18,32,25-34,,JM,male,1,-9,<20,America/Jamaica,,,0,1,lifestyle,,,,
246582,17700,10000-20000,"[""performance""]",active_talent,223391,7/9/18,7/13/18,4,1,instagram,1,7/3/18,17,13-17,New York,US,female,23,-5,20-60,America/New_York,40.626,-74.0942,0,1,performance,,,,
226864,74900,>20000,"[""sport"", ""performance"", ""lifestyle""]",not_interested,883,6/21/18,,,0,instagram,0,6/20/18,32,25-34,,US,female,0,,<20,America/Los_Angeles,,,0,3,sport,performance,lifestyle,,
1048,,,null,not_interested,47,3/30/18,,,0,facebook,0,4/5/18,23,18-24,California,US,male,74,7,60-120,America/Los_Angeles,37.3501,-121.9854,0,,,,,,
1045,1016,1000-3000,null,not_interested,47,3/30/18,,,0,instagram,0,4/5/18,23,18-24,California,US,female,99,7,60-120,America/Los_Angeles,37.3501,-121.9854,0,,,,,,
2575,2838,1000-3000,"[""performance""]",active_talent,47,5/21/18,5/23/18,2,1,instagram,0,4/9/18,15,13-17,Bratislavský kraj,SK,female,3723,-42,>200,Europe/Bratislava,48.309,18.0873,0,1,performance,,,,
200436,12000,10000-20000,null,interviewed,103328,6/12/18,,,0,youtube,0,6/10/18,20,18-24,Illinois,US,male,0,,<20,America/Chicago,40.7473,-89.574,0,,,,,,
